date,open,close,volume
2017-09-21 00,3874.0,3845.12,5294662.989490711
2017-09-21 01,3844.87,3854.8,1907683.2108489198
2017-09-21 02,3854.8,3865.0,1362976.9219722692
2017-09-21 03,3865.0,3825.0,786884.670408039
2017-09-21 04,3825.0,3864.0,2357554.794060947
2017-09-21 05,3863.96,3869.88,1127347.4034863347
2017-09-21 06,3869.89,3870.99,586906.7171276858
2017-09-21 07,3870.96,3894.06,1821656.4095048762
2017-09-21 08,3894.11,3860.0,601931.4654139512
2017-09-21 09,3860.0,3861.5,1559851.4651974959
2017-09-21 10,3860.31,3888.0,1508774.8993962181
2017-09-21 11,3884.11,3867.43,843743.8470149827
2017-09-21 12,3863.08,3860.0,1427175.6334496397
2017-09-21 13,3859.9,3865.01,1045756.803001395
2017-09-21 14,3859.49,3786.48,5046028.9717674395
2017-09-21 15,3781.75,3750.95,8660305.435093401
2017-09-21 16,3750.94,3696.14,6578433.901375199
2017-09-21 17,3696.0,3675.51,3782328.77393476
2017-09-21 18,3679.77,3693.95,2278768.9612144725
2017-09-21 19,3693.89,3634.64,5739217.17018777
2017-09-21 20,3634.45,3652.23,5316199.012773696
2017-09-21 21,3650.86,3650.02,3069402.2786898282
2017-09-21 22,3651.52,3651.89,2520686.6756663998
2017-09-21 23,3643.47,3616.77,1764017.30277795
2017-09-22 00,3609.0,3659.99,1384033.4716521082
2017-09-22 01,3659.95,3647.0,1561649.6967090203
2017-09-22 02,3650.0,3633.71,855422.14218882
2017-09-22 03,3633.66,3688.57,1412236.6625915458
2017-09-22 04,3687.0,3728.73,2290339.477880395
2017-09-22 05,3728.09,3718.0,1603359.9360887595
2017-09-22 06,3713.82,3755.91,2165216.629173119
2017-09-22 07,3748.64,3672.24,2971880.5984785673
2017-09-22 08,3677.99,3667.05,1938249.5921482905
2017-09-22 09,3667.05,3600.0,1802386.4197182
2017-09-22 10,3599.0,3589.92,3542558.950100534
2017-09-22 11,3590.0,3549.98,5006819.422125709
2017-09-22 12,3545.01,3605.92,3204163.9644495
2017-09-22 13,3600.89,3575.0,1732803.4913347003
2017-09-22 14,3579.71,3593.88,2586895.1547961896
2017-09-22 15,3593.88,3544.65,4829193.009469552
2017-09-22 16,3544.45,3562.4,2328573.0969668794
2017-09-22 17,3562.38,3548.37,1380044.3216878904
2017-09-22 18,3548.3,3555.42,2316029.1083593336
2017-09-22 19,3555.42,3591.01,2445354.4334984897
2017-09-22 20,3591.0,3615.08,2451360.549091811
2017-09-22 21,3615.99,3619.31,2513321.668272446
2017-09-22 22,3620.67,3607.03,1537778.2730439857
2017-09-22 23,3609.96,3602.89,420398.2100516479
2017-09-23 00,3611.89,3606.2,1114828.4560158125
2017-09-23 01,3603.01,3588.65,2613512.919998161
2017-09-23 02,3583.72,3622.67,1699216.0313866748
2017-09-23 03,3629.53,3614.87,168074.53365726912
2017-09-23 04,3614.88,3704.01,3104870.7377256397
2017-09-23 05,3706.0,3695.53,1786559.9787118682
2017-09-23 06,3695.55,3694.96,783524.454357201
2017-09-23 07,3694.97,3688.77,505697.6290794291
2017-09-23 08,3688.57,3727.99,1798156.9419566493
2017-09-23 09,3727.98,3717.5,964214.2136044401
2017-09-23 10,3717.5,3772.52,1904609.4728685624
2017-09-23 11,3772.0,3809.91,2113786.5581666427
2017-09-23 12,3809.9,3770.0,2573072.62276042
